idCampagne,campagne,idRegion,libelleRegion,idSecteur,libelleSecteur,idGroupement,libelleGroupement,S_Prevu,S_realise,TonnagePrevu,TonnageRealise,TonnageEvacue,TonnageAchete,TonnagePaye,NetAPaye,MontantPaye,Credit,RemboursementCredit,Arriere,RemboursementArriere
13.0,2023/2024,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,52.0,52.0,80000,70200,70200,68800,68800,4365165,4365165,15491890,15491890,13933305,0
15.0,2025/2026,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,50.0,56.0,140000,47380,0,0,0,0,0,49876350,0,24208300,0
2.0,2012/2013,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,0.0,0.0,148000,92310,92310,0,0,0,0,134041929,124189625,22425940,84320
3.0,2013/2014,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,84.0,84.0,105000,99790,99790,0,0,0,0,106577944,106577947,62891410,91645
4.0,2014/2015,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,202.0,196.0,245000,218020,218020,0,0,0,0,241260082,241260082,37679857,3370722
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,146.0,146.0,157000,267490,267490,0,0,0,0,161830620,161830620,68618271,114120
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,129.0,129.0,280000,317900,317900,0,0,0,0,155969400,155969400,68504151,16596180
7.0,2017/2018,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,155.0,155.0,314000,341600,341600,0,0,0,0,195348780,195348780,51907971,15936000
9.0,2019/2020,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,192.0,217.0,410000,377020,377020,0,0,0,0,86324320,86324320,43742468,5191992
8.0,2018/2019,9,MAYO-GALKE,97,BAIKWA,233038,DAMDJEL,194.0,217.0,395000,431800,431800,0,0,0,0,194483500,194483500,29976643,2637600
8.0,2018/2019,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,0.0,0.0,0,0,0,0,0,0,0,0,0,3602725,0
7.0,2017/2018,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,0.0,0.0,0,0,0,0,0,0,0,0,0,3602725,0
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,0.0,0.0,0,0,0,0,0,0,0,0,0,3602725,0
9.0,2019/2020,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,0.0,0.0,0,0,0,0,0,0,0,0,0,3602725,0
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,0.0,0.0,0,0,0,0,0,0,0,0,0,3602725,0
4.0,2014/2015,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,0.0,0.0,0,0,0,0,0,0,0,0,0,3602725,0
3.0,2013/2014,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,0.0,0.0,0,0,0,0,0,0,0,0,0,3602725,0
2.0,2012/2013,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,0.0,0.0,0,0,0,0,0,0,0,0,0,3602725,0
15.0,2025/2026,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,71.0,75.0,115000,92800,0,0,0,0,0,99999750,0,15239600,0
14.0,2024/2025,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,82.0,83.0,135000,93660,93660,91527,91527,5158050,5158050,117659000,117659000,18342120,54600
13.0,2023/2024,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,89.0,89.0,130000,130040,130040,127446,127446,8276270,8276270,143492350,143492350,17812800,2527700
11.0,2021/2022,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,70.0,70.0,127000,101480,101480,199060,199060,12159995,12159995,72709025,72709025,21640320,171000
12.0,2022/2023,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,71.0,71.0,125000,109520,109520,107335,107335,13822875,13822875,86929050,86929050,17891100,78300
10.0,2020/2021,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,60.0,60.0,0,107120,107120,0,0,0,0,54333500,54273500,21616350,66030
1.0,2011/2012,9,MAYO-GALKE,97,BAIKWA,233705,DJADJOULI,0.0,0.0,0,0,0,0,0,0,0,0,0,3602725,0
1.0,2011/2012,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,0.0,0.0,0,0,0,0,0,0,0,36944800,36812400,2850800,0
10.0,2020/2021,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,120.0,120.0,174000,185220,185220,0,0,0,0,23037875,23037875,0,0
11.0,2021/2022,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,113.0,113.0,224000,206940,206940,404534,404534,30718780,30718780,21963175,21963175,0,0
12.0,2022/2023,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,126.0,130.0,225000,162540,162540,158831,158831,18886220,18886220,26511185,26511185,0,0
14.0,2024/2025,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,128.0,132.0,210000,150160,150160,146856,146856,8813455,8813455,37460360,37460360,0,0
13.0,2023/2024,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,125.0,128.0,165000,231220,231220,224411,224411,26791695,26791695,37429600,37429600,0,0
15.0,2025/2026,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,110.0,121.0,175000,163240,0,0,0,0,0,30986300,0,0,0
2.0,2012/2013,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,0.0,0.0,200000,154730,154730,0,0,0,0,48023276,47423276,2850800,2788
3.0,2013/2014,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,135.0,135.0,147424,150540,150540,0,0,0,0,75177656,75177657,5060015,1500005
4.0,2014/2015,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,122.0,122.0,157000,191180,191180,0,0,0,0,48409548,48409548,4272010,4272012
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,113.0,113.0,120000,146510,146510,0,0,0,0,20111580,20111580,0,0
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233008,DJERWING,107.0,107.0,135000,159300,159300,0,0,0,0,19007480,19007480,0,0
